CPU	CPU%c6
31	99.93
27	99.84
41	99.93
45	99.90
47	99.80
43	99.93
39	99.49
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.90
8	93.54
10	99.85
6	99.67
2	99.68
12	98.66
16	99.95
20	99.95
22	99.56
18	99.95
14	97.05
24	98.61
28	99.95
32	98.26
36	99.90
34	98.73
30	95.49
26	99.83
40	96.18
44	99.70
46	99.70
42	95.05
38	99.11
1	97.91
5	99.49
9	98.55
13	99.93
11	99.33
7	99.29
3	99.82
17	99.95
21	99.93
25	99.93
23	99.95
19	99.88
15	99.93
29	92.70
33	99.88
37	99.93
35	99.95
31	99.93
27	99.95
41	99.95
45	99.95
47	99.85
43	99.93
39	99.49
 
CPU	CPU%c6
-	96.89
0	0.00
4	99.42
8	93.15
10	99.83
6	99.09
2	98.92
12	98.45
16	99.93
20	99.93
22	99.09
18	99.90
14	96.58
24	98.97
28	99.93
32	98.76
36	99.90
34	98.79
30	95.47
26	99.81
40	95.50
44	99.78
46	99.90
42	96.11
38	98.12
1	98.07
5	99.51
9	98.39
13	99.88
11	99.22
7	99.85
3	99.68
17	99.90
21	99.88
25	99.93
23	99.93
19	99.85
15	99.93
29	92.61
33	99.81
37	99.93
35	99.90
31	99.89
27	99.93
41	99.90
45	99.89
47	99.78
43	99.93
39	99.68
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.90
8	91.94
10	99.79
6	99.72
2	99.59
12	98.44
16	99.93
20	99.95
22	99.58
18	99.92
14	97.75
24	99.01
28	99.95
32	98.56
36	99.92
34	98.74
30	95.52
26	99.83
40	94.18
44	99.85
46	99.95
42	99.16
38	96.74
1	98.29
5	99.61
9	97.86
13	99.90
11	99.20
7	99.30
3	99.54
17	99.93
21	99.93
25	99.95
23	99.93
19	99.83
15	99.95
29	92.14
33	99.88
37	99.95
35	99.95
31	99.95
27	99.95
41	99.95
45	99.95
47	99.83
43	99.95
39	99.71
 
CPU	CPU%c6
-	96.90
0	0.00
4	99.90
8	91.84
10	99.85
6	99.69
2	99.62
12	98.50
16	99.95
20	99.90
22	99.72
18	99.95
14	98.13
24	98.77
28	99.95
32	98.68
36	99.92
34	98.89
30	95.50
26	99.80
40	95.40
44	99.80
46	99.92
42	97.45
38	96.24
1	96.28
5	99.47
9	97.93
13	99.93
11	99.27
7	99.28
3	99.47
17	99.90
21	99.90
25	99.95
23	99.95
19	99.90
15	99.93
29	93.96
33	99.81
37	99.95
35	99.95
31	99.95
27	99.93
41	99.95
45	99.93
47	99.82
43	99.95
39	99.69
 
CPU	CPU%c6
-	96.90
0	0.00
4	99.50
8	92.40
10	99.75
6	99.09
2	99.04
12	98.47
16	99.93
20	99.93
22	99.44
18	99.90
14	98.15
24	99.00
28	99.93
32	98.16
36	99.85
34	98.72
30	95.45
26	99.81
40	98.09
44	99.71
46	99.73
42	94.82
38	97.00
1	94.66
5	99.48
9	98.39
13	99.90
11	99.90
7	99.34
3	99.80
17	99.93
21	99.90
25	99.90
23	99.93
19	99.78
15	99.93
29	96.13
33	99.85
37	99.87
35	99.89
31	99.90
27	99.93
41	99.89
45	99.92
47	99.85
43	99.87
39	99.54
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.84
8	93.38
10	99.83
6	99.73
2	99.50
12	98.51
16	99.90
20	99.95
22	99.32
18	99.92
14	97.74
24	98.99
28	99.93
32	98.54
36	99.92
34	98.80
30	95.52
